|Title|Author|Format-Year
0|Real-World Spanish: The Conversation Learning System|Camila Vega Rivera|eAudiobook - 2025
1|100 Facts About Learning Spanish: English to Spanish|Science-Based Language Learning Lab|eBook - 2024
2|The Ultimate Learning Spanish Blueprint - 10 Essential Steps|Ramirez, Andres|eBook - 2024
3|100 Facts About Learning Spanish|Science-Based Language Learning Lab|eAudiobook - 2024
4|No Tears Spanish Grammar: Easy Learning: Essential Rules for Beginners|Bennett, Olivia|eBook - 2024
5|A Beginner's Guide to Learning Spanish|Miller, Jackson|eAudiobook - 2024
6|Guess What Baby J Is Learning? 123's Spanish|Sharif, Mboya|"eBook - 2023 | Spanish"
7|Learning Spanish for Adults Beginner|World, Spain|eBook - 2023
8|Learning to Read in English and Spanish Made Easy: A Guide for Teachers, Tutors, and Parents|Navarijo, Susie G.|eBook - 2022
9|Spanish for Beginners: A Comprehensive Guide for Learning the Spanish Language Fast|Language Equipped Travelers|eBook - 2021
10|Learn Spanish Like a Native for Beginners - Level 2: Learning Spanish in Your Car Has Never Been Eas|Learn Like a Native|eBook - 2021
11|Spanish: Beginner's Step by Step Course to Quickly Learning the Spanish Language, Spanish Grammar &|Michaels, Steven J.|eBook - 2021
12|Learn Spanish Like a Native for Beginners - Level 1: Learning Spanish in Your Car Has Never Been Eas|Learn Like a Native|eBook - 2021
13|I'm Learning Spanish: Listen, Repeat, Speak language learning course|Gardner, James M.|"eAudiobook - 2020 | Chinese"
14|I am learning Spanish|Gardner, James M.|eAudiobook - 2018
15|The Best Spanish Learning Games for Children|Professor, Baby|eBook - 2017
16|Easy Learning Spanish Vocabulary|Dictionaries, Collins|"eBook - 2016 | Spanish"
17|Easy Learning Spanish Grammar: Trusted support for learning|Various Authors|eBook - 2016
18|Easy Learning Spanish Verbs|Various Authors|eBook - 2016
19|Spanish Easy Learning Complete Course: Language Learning the easy way with Collins|Carmen García del Río;Fitzsimons, Ronan|eAudiobook - 2016
20|Easy Learning Spanish Conversation|Various Authors|"eBook - 2015 | Spanish"
21|Learning the Local Language: Your Guide to Real World Spanish|Romey, Jared|eBook - 2013
22|Easy Learning Spanish Idioms|Dictionaries, Collins|eBook - 2011
23|Advanced Work with Commands: Learning Spanish II: How to Understand and Speak a New Language, Episode 25|No author|Streaming Video - 2017
24|The Conditional Tense: Learning Spanish II: How to Understand and Speak a New Language, Episode 17|No author|Streaming Video - 2017
25|Past Participles as Adjectives and Nouns: Learning Spanish II: How to Understand and Speak a New Language, Episode 14|No author|Streaming Video - 2017
26|Using Se to Talk about Unplanned Events: Learning Spanish II: How to Understand and Speak a New Language, Episode 12|No author|Streaming Video - 2017
27|The Future Tense: Learning Spanish II: How to Understand and Speak a New Language, Episode 15|No author|Streaming Video - 2017
28|Expressing Influence with the Subjunctive: Learning Spanish II: How to Understand and Speak a New Language, Episode 28|No author|Streaming Video - 2017
29|Relative Adverbs and Relative Pronouns: Learning Spanish II: How to Understand and Speak a New Language, Episode 19|No author|Streaming Video - 2017
30|Uses of the Infinitive: Learning Spanish II: How to Understand and Speak a New Language, Episode 18|No author|Streaming Video - 2017
31|Advanced Work with the Preterite Tense: Learning Spanish II: How to Understand and Speak a New Language, Episode 5|No author|Streaming Video - 2017
32|Expressing Emotion with the Subjunctive: Learning Spanish II: How to Understand and Speak a New Language, Episode 29|No author|Streaming Video - 2017
33|Expressing Doubt with the Subjunctive: Learning Spanish II: How to Understand and Speak a New Language, Episode 27|No author|Streaming Video - 2017
